Code	Code2	Name	Symbol	Yalniz Baskiyla Ilgili	Explanation	
17		Normal Ardçarpma (-)	129	FALSE	Çarpmadır. Fakat, değerini kendisinden önce gelen notadan alır.	
18		Porteyi Bu Hizada Bitir (-)		TRUE	Kısa bir nota satırında notaların arasını açmayıp bitirme çizgisini bu işareti koyunca çizer.	
19	syb	New page (-)		TRUE	The printed score starts a new page with this code.	
20		Forbid New page / Carriage return (-)		TRUE	Line break or new page is not allowed at this point.	
21	stb	Carriage Return		TRUE	Makes a line break. If LNS is equal to 1, the break happens inside a measure (st2).	
22		Silent natural gracenote (-)		FALSE	The next higher-pitched natural note is played as a silent gracenote.	
23	mrd	Mordan	116	FALSE	Önce üzerine konulduğu nota ve onun bir derece tizi, notanın asıl değerinin dörtte biri süresince seslendirilir, geriye kalan süre yine asıl notayla tamamlanır. Örneğin 1/4 değerinde bir Do`nun üzerine mordan işareti konmuşsa icra şöyle olur: Do (1/16), R	
24	mra	Lower Mordent	115	FALSE	Önce üzerine konulduğu nota ve onun bir derece pesti, notanın asıl değerinin dörtte biri süresince seslendirilir, geriye kalan süre yine asıl notayla tamamlanır. Örneğin 1/4 değerinde bir Do`nun üzerine mordan işareti konmuşsa icra şöyle olur: Do (1/16), 	
25		Natural Mordent (-)		FALSE		
26		Natural Lower Mordent (-)		FALSE		
27	ptm	Portamento		FALSE	Slides from this note and the next note but does not connect the notes.	
28	grp	Grupetto	170	FALSE	Önce üzerine konulduğu nota süre olarak dörde bölünür, ilk birim süresince nokanın tizi - kendisi ve pesti triole şeklinde seslendirilir, geriye kalan süre yine asıl notayla tamamlanır. Örneğin 1/2 değerinde bir Do`nun üzerine grupetto işareti konmuşsa ic	
29	gra	Lower Grupetto	168	FALSE	Önce üzerine konulduğu nota süre olarak dörde bölünür, ilk birim süresince nokanın pesti - kendisi ve tizi triole şeklinde seslendirilir, geriye kalan süre yine asıl notayla tamamlanır. Örneğin 1/2 değerinde bir Do`nun üzerine grupetto işareti konmuşsa ic	
30		Natural Grupetto (-)		FALSE		
31		Natural Lower Grupetto (-)		FALSE		
32	tra	Lower Trill	165	FALSE	Nota dörde bölünür ve bunlar alt sessiz çarpmalı gibi seslendirilir. Daha çok sayıda tril yapılmak istenirse bu Pay ve Payda değerinde yazılmalıdır. Örneğin 1/4`lük bir nota normalde 1/16`lik dört alt sessiz çarpmalı notaya bölünür. Fakat Pay/Payda alanla	
33		Triole with Gracenote (-)		FALSE		
34		Triole with Soft Gracenote (-)		FALSE		
35	oot	Repeat the previous measure  (%)	212	FALSE	When this symbol is encountered, the previous measure is repeated.	
36		D.C. (-)		FALSE	Eserin başına dönülmesini sağlar.	
37		(1)		FALSE	Eserin belli bir pasajı birçok kez tekrarlanıyorsa, her bir tekrardan sonra hangi noktaya dönüleceğini işaret eder.	
38		(2)		FALSE		
39		(3)		FALSE		
40		(4)		FALSE		
41		(5)		FALSE		
42		(6)		FALSE		
43	mtr	Ters Mordan	194	FALSE	Önce üzerine konulduğu nota, asıl değerinin yarısı süresince seslendirilir; geriye kalan süre ikiye bölünüp önce asıl notanın bir derece tizi, sonra da kendisi ile tamamlanır. Örneğin 1/4 değerinde bir Do`nun üzerine ters mordan işareti konmuşsa icra şöyl	
44	mta	Ters Aşağı Mordan	188	FALSE	Önce üzerine konulduğu nota, asıl değerinin yarısı süresince seslendirilir; geriye kalan süre ikiye bölünüp önce asıl notanın bir derece pesti, sonra da kendisi ile tamamlanır. Örneğin 1/4 değerinde bir Do`nun üzerine ters aşağı mordan işareti konmuşsa ic	
45		Ters Bekar Mordan (-)		FALSE		
46		Ters Bekar Aşağı Mordan (-)		FALSE		
47		Vibrato (Vib) (-)		FALSE		
48		Portenin Altına Serbest Yazı (-)		TRUE		
49		Portenin Üstüne Serbest Yazı (-)		TRUE		
50	mkm	Makam/Change (-)		FALSE	Makam name is written to Söz1 field and the notes in the key signature  ("B4b1, F5#4",…) are written to Söz2 field	
51	usl	Usul/Change		FALSE	Usul değişimlerini belirtmekte kullanılır. Legato% alanındaki sayı (ya da, numarası 127`den büyük olanlar için, o sayı ile birlikte [Basış] ve [Bırakış] alanlarındaki değerlerin toplamı), bu eserin o noktasında yazılı no`lu usule geçki yapılıyor anlamına 	
52	tmd	Tempo/Change		FALSE	Used to indicate a tempo change. The value in the Legato% field indicates the tempo starting from this point now on. If the value is greater than 127, the sum of this value, and the values in the Basış and Bırakış fields indicate the tempo. In the Pay, Payda fields, XX 	
53	cms	Phrase Boundary		TRUE	The boundary of a phrase/sentence/motif … Naturally one should assume a boundary at the start and end of the score.	
54	gcb	Modulation/Flavor Start	0	TRUE	The modulated note (Söz-1) and makam flavor (Söz-2) are written.	
55	gcs	Modulation/Flavor End	0	TRUE	Additional information such as "İnici"/"Çıkıcı" ("Ascending"/"Descending") may be written to the Söz-2 field.	
56	trt	Measure change (Rhythm)	0	TRUE	Used when switched to a different number of  pulses (zaman) or unit pulset (mertebe) without indicating a usul name.The new values are written to the Pay and Payda fields. It is used to notate the subdivisions of big usuls such as 32/4.	
57	frm	Form	0	TRUE	Written to the Söz1 field, e.g. "Şarkı, Peşrev"	
58	bst	Composer	0	TRUE	Name - Surname of the composer (or explanation such as "Anonim" to indicate anonymous) is written to the Söz1 field. The birth and death dates are written to the Söz2 field.	
59	gfy	Lyricist	0	TRUE	Name - Surname of the composer (or explanation such as "Anonim" to indicate anonymous) is written to the Söz1 field. The birth and death dates are written to the Söz2 field.	
60	szb	Starting Lyrics	0	TRUE	The first words of the lyrics, written to the Söz1 field	
61		Transposition (Ahenk)	0	TRUE	The transposition of the performance, given in Holderian commas. 9: Kızneyi nısfiyesi, 0: Mansur nısfiyesi (Default), -9: Şah nısfiyesi, -13: Davud nısfiyesi, -22: Bolahenk neyi, -31: Sipürde neyi, -35: Müstahzen neyi, -44: Kızneyi, -53: Mansur neyi	
62	kol	Folkloric	0	TRUE	1 if the a folk music piece, 0 else	
63	nts	Notation	0	TRUE	The value is written to the Soz1 field and indicates the accidentals to be used in the prnt. If it is "THM" Turkish folk music accidentals are used (indiced accidentals; b1, b2 etc.), whereas if the value is "TSM" Turkish art music accidentals are printed (Arel – Ezgi accidentals). In case the value is Karma the method in Mus2-Alpha is selected.	
64	gfa	Güfte Adı	0	TRUE	Entered to the Söz1 field, If the lyrics has a title as a poem (e.g. Dönülmez Akşamın -> Rindlerin Ölümü)	
65	bsy	Composition Date	0	TRUE	The date of composition written on the Söz1 field	
66	esu	Duration of the Composition	0	TRUE	The duration of the composition written in "x Dk y Sn" (Dk: minutes, Sn: seconds) to the Söz1 field	
71	byt	Paper Size	0	TRUE	Pay field: Width, Payda field: Height (mm)	
72	mrj	Margins	0	TRUE	Pay field: Top, Payda field: Bottom; Bas field: Left, Çek field: Right (mm)	
73	dzn	Vertical - Horizontal Layout	0	TRUE	Pay field: The smallest interval, Payda field: Highest note in the line; Bas field: Line spacing, Çek: Punto	
89		Gracenote to Note	0	TRUE	A normal gracenote is turned into a note. The duration is taken from the next note.	
108		Ardçarpmadan Notaya	0	TRUE	Ardçarpma notaya dönüştürülmüş. Değerinin bir kısmını sonraki notaya vermiş.
